# Pb-Pb, \sqrt{s}=5.02 TeV, centrality 10-30%, MARTINI calculations
# |eta^{jet}| < 2.0, anti-k_t
# pt [GeV]  pt_min [GeV]  pt_max [GeV] RAA, stat. err (R = 0.2, 0.3, 0.4, 0.6, 0.8, 1.0)
2.1100e+02  2.0000e+02  2.2300e+02  5.6208e-01  1.1248e-02  6.2538e-01  1.1574e-02  6.9009e-01  1.2584e-02  8.0885e-01  1.3872e-02  8.9410e-01  1.4927e-02  9.8206e-01  1.6553e-02
2.3700e+02  2.2300e+02  2.5100e+02  5.6993e-01  1.1975e-02  6.4154e-01  1.2357e-02  6.9140e-01  1.2255e-02  8.0547e-01  1.3677e-02  8.9907e-01  1.4988e-02  9.5917e-01  1.5963e-02
2.6600e+02  2.5100e+02  2.8100e+02  5.7572e-01  1.1261e-02  6.3868e-01  1.1607e-02  6.9665e-01  1.2408e-02  8.0107e-01  1.3750e-02  8.9386e-01  1.5207e-02  9.6761e-01  1.6313e-02
2.9850e+02  2.8100e+02  3.1600e+02  5.7426e-01  1.1305e-02  6.3174e-01  1.1135e-02  6.9343e-01  1.2662e-02  7.9306e-01  1.3504e-02  8.7163e-01  1.4428e-02  9.3190e-01  1.5316e-02
3.3500e+02  3.1600e+02  3.5400e+02  5.8451e-01  1.0104e-02  6.3344e-01  9.7662e-03  6.8854e-01  1.0459e-02  7.8192e-01  1.2162e-02  8.6923e-01  1.5117e-02  9.3170e-01  1.6714e-02
3.7600e+02  3.5400e+02  3.9800e+02  5.7459e-01  9.5445e-03  6.3495e-01  1.0468e-02  6.8482e-01  1.0647e-02  7.8262e-01  1.1712e-02  8.6167e-01  1.2844e-02  9.0435e-01  1.3352e-02
4.4950e+02  3.9800e+02  5.0100e+02  5.8702e-01  6.8788e-03  6.4087e-01  7.1341e-03  6.8866e-01  7.4985e-03  7.6894e-01  8.1501e-03  8.4311e-01  1.0128e-02  9.0251e-01  1.1177e-02
5.6550e+02  5.0100e+02  6.3000e+02  5.7283e-01  7.0927e-03  6.3393e-01  7.7688e-03  6.8600e-01  8.2897e-03  7.5141e-01  8.2654e-03  8.0054e-01  8.3835e-03  8.4358e-01  9.3153e-03
7.2200e+02  6.3000e+02  8.1400e+02  5.5421e-01  6.7421e-03  6.0672e-01  6.9430e-03  6.4427e-01  7.4381e-03  7.1428e-01  7.8629e-03  7.7163e-01  8.5220e-03  8.1834e-01  9.2595e-03
9.0700e+02  8.1400e+02  1.0000e+03  5.3125e-01  7.5641e-03  5.8549e-01  8.3071e-03  6.3475e-01  9.4307e-03  6.9534e-01  9.5789e-03  7.4048e-01  9.8280e-03  7.7453e-01  1.0454e-02
