pT(GeV)   RAA(showers_only)  error  RAA(with_recoil)  error  RAA(with_recoil_and_back_reaction)  error
225  0.423508  0.00255193  0.472577  0.00275874  0.460531  0.00263581  
275  0.43657  0.00245945  0.488548  0.00263181  0.477564  0.00257493  
325  0.444687  0.0024681  0.50088  0.00278979  0.490972  0.00281386  
375  0.459473  0.00272923  0.51695  0.00298071  0.504798  0.00284155  
425  0.45726  0.0024415  0.517129  0.00270441  0.507529  0.00262785  
475  0.468878  0.00253191  0.530974  0.00280008  0.520658  0.0027423  
525  0.472713  0.00273029  0.5334  0.00292148  0.523246  0.00286322  
575  0.479705  0.00291096  0.543463  0.00308658  0.532119  0.00310724  
625  0.47647  0.00338618  0.543024  0.00397297  0.531424  0.0036397  
675  0.47746  0.00264729  0.544372  0.00287347  0.53365  0.00279312  
725  0.476646  0.00282159  0.543486  0.00318573  0.532404  0.00310191  
775  0.474112  0.00280921  0.544331  0.00306968  0.534186  0.00302551  
825  0.479851  0.00308363  0.547918  0.00337178  0.536372  0.00327512  
875  0.472386  0.00273654  0.544719  0.003091  0.532952  0.00296806  
925  0.469926  0.00317796  0.543441  0.00361627  0.532297  0.00357826  
975  0.463759  0.00287926  0.539186  0.00328511  0.52576  0.00312422  
