pT(GeV)   RAA(showers_only)  error  RAA(with_recoil)  error  RAA(with_recoil_and_back_reaction)  error
225  0.441224  0.00242606  0.593668  0.00313652  0.538255  0.00277349  
275  0.456029  0.00245599  0.61539  0.00320715  0.559621  0.00284166  
325  0.46878  0.00249307  0.6286  0.00325952  0.575324  0.00298045  
375  0.478985  0.00253794  0.642458  0.00334159  0.587467  0.00297624  
425  0.481393  0.00265078  0.645501  0.00342866  0.590628  0.00307374  
475  0.488886  0.00253145  0.65724  0.00333224  0.604489  0.00304895  
525  0.494804  0.00262553  0.661359  0.00344906  0.606677  0.00310801  
575  0.496464  0.00260946  0.667003  0.00323686  0.614461  0.00337457  
625  0.497958  0.00318213  0.674256  0.00441201  0.61494  0.00306635  
675  0.502404  0.00272144  0.673126  0.00339138  0.615572  0.00307697  
725  0.496452  0.00267619  0.675979  0.00355392  0.618013  0.00318  
775  0.495867  0.00273016  0.673274  0.00350747  0.615711  0.00315451  
825  0.497754  0.00324072  0.67227  0.00350051  0.615793  0.00328245  
875  0.496558  0.00297837  0.686777  0.00442662  0.625623  0.00392819  
925  0.493684  0.00328947  0.679196  0.00415197  0.613281  0.00352229  
975  0.486931  0.00283705  0.678101  0.00387233  0.617018  0.00386636  
