pT(GeV)   RAA(showers_only)  error  RAA(with_recoil)  error  RAA(with_recoil_and_back_reaction)  error
225  0.458918  0.00255035  0.805506  0.00422436  0.624173  0.00310143  
275  0.475745  0.00246607  0.821215  0.00421567  0.649746  0.00319425  
325  0.487431  0.00249806  0.833465  0.00421814  0.661563  0.00329243  
375  0.49815  0.00255827  0.844736  0.00451603  0.673187  0.00325445  
425  0.500412  0.00267253  0.848075  0.00426968  0.678037  0.00345616  
475  0.506015  0.00258359  0.853124  0.00451594  0.683748  0.00328101  
525  0.509797  0.00260654  0.851486  0.00427418  0.684695  0.00330696  
575  0.513622  0.002589  0.86075  0.00426287  0.693592  0.00341285  
625  0.514036  0.00312258  0.862695  0.00441334  0.693372  0.00347359  
675  0.51427  0.00267502  0.865706  0.00535077  0.696917  0.00344371  
725  0.512228  0.00274033  0.874646  0.00494091  0.696077  0.0034782  
775  0.509858  0.00263172  0.86323  0.0044661  0.691747  0.00339287  
825  0.508207  0.0029204  0.866496  0.00462827  0.69124  0.00362288  
875  0.510955  0.00317862  0.879105  0.00554459  0.697529  0.00432296  
925  0.506668  0.00336471  0.873126  0.00496069  0.692998  0.00409612  
975  0.500944  0.00313262  0.883835  0.00587738  0.686241  0.00362008  
