pT(GeV)   RAA(showers_only)  error  RAA(with_recoil)  error  RAA(with_recoil_and_back_reaction)  error
225  0.489211  0.00267824  1.97556  0.0146601  0.795569  0.00399473  
275  0.506595  0.00270124  1.90135  0.012641  0.817244  0.00403333  
325  0.513065  0.002756  1.84995  0.0119338  0.814412  0.00412595  
375  0.516932  0.00266992  1.80632  0.0126272  0.826007  0.00417812  
425  0.520799  0.0028798  1.79847  0.0125881  0.827194  0.00438412  
475  0.527013  0.00292004  1.76505  0.0120373  0.825269  0.00460539  
525  0.519012  0.00276948  1.78409  0.0133958  0.82282  0.00426309  
575  0.526499  0.00276814  1.73969  0.0123632  0.817812  0.00411702  
625  0.525211  0.00337223  1.72012  0.0132903  0.822231  0.00538215  
675  0.523437  0.00300702  1.72417  0.0110493  0.813555  0.00437535  
725  0.521175  0.00302214  1.7406  0.0168965  0.814769  0.00445882  
775  0.517762  0.00298596  1.76885  0.0156543  0.818533  0.00502888  
825  0.517543  0.00382936  1.73848  0.012802  0.806057  0.00497077  
875  0.514314  0.00356359  1.74708  0.0130707  0.810573  0.00479573  
925  0.509411  0.00345658  1.7913  0.0229564  0.801389  0.00555297  
975  0.503545  0.00344849  1.79544  0.0155519  0.804911  0.00640792  
