 R     R_AA(p_T=200-250GeV) 	R_AA(R)/R_AA(0.2)
 0.2   0.4058				1
 0.3   0.4295				1.0584
 0.4   0.4487				1.1057
 0.6   0.4942				1.2178
 0.8   0.5306				1.3075
 1.0   0.5577				1.3742
